"dataset","celltype_index","CellType","Accuracy","MeanConfidence","NumCells"
12,8,"Megakaryocyte",0.444,0.966,18
12,9,"Plasmacytoid dendritic cell",NA,NA,0
12,10,"MeanAcrossCellTypes",0.789,0.981,526
13,1,"CD4+ T cell",0.92,0.983,112
13,2,"Cytotoxic T cell",0.803,0.956,193
13,3,"Natural killer cell",0.82,0.98,50
13,4,"CD14+ monocyte",0.833,0.95,60
13,5,"CD16+ monocyte",1,0.954,18
13,6,"B cell",0.975,1,79
13,7,"Dendritic cell",NA,NA,0
13,8,"Megakaryocyte",0.929,0.997,14
13,9,"Plasmacytoid dendritic cell",NA,NA,0
13,10,"MeanAcrossCellTypes",0.897,0.974,526
14,1,"Cytotoxic T cell",0.919,0.976,694
14,2,"CD14+ monocyte",0.977,1,436
14,3,"CD16+ monocyte",0.98,1,50
14,4,"B cell",0.992,0.999,862
14,5,"CD4+ T cell",0.939,0.99,963
14,6,"Megakaryocyte",1,1,32
14,7,"Plasmacytoid dendritic cell",1,1,30
14,8,"Dendritic cell",0.987,0.994,76
14,9,"Natural killer cell",0.963,0.996,219
14,10,"MeanAcrossCellTypes",0.973,0.995,3362
15,1,"Cytotoxic T cell",0.951,0.988,962
15,2,"CD14+ monocyte",0.938,0.996,354
15,3,"CD16+ monocyte",1,1,98
15,4,"B cell",1,0.999,346
15,5,"CD4+ T cell",0.828,0.977,960
15,6,"Megakaryocyte",0.859,0.987,270
15,7,"Plasmacytoid dendritic cell",NA,NA,0
15,8,"Dendritic cell",0.526,0.984,38
15,9,"Natural killer cell",0.845,0.979,194
15,10,"MeanAcrossCellTypes",0.868,0.989,3222
16,1,"Cytotoxic T cell",0.92,0.972,1978
16,2,"CD14+ monocyte",0.658,0.984,357
16,3,"CD16+ monocyte",0.924,0.995,198
16,4,"B cell",0.979,0.996,1405
16,5,"CD4+ T cell",0.907,0.977,2061
16,6,"Megakaryocyte",1,1,27
16,7,"Plasmacytoid dendritic cell",0.929,0.976,28
16,8,"Dendritic cell",0.826,0.989,46
16,9,"Natural killer cell",0.607,0.978,484
16,10,"MeanAcrossCellTypes",0.861,0.985,6584
17,1,"Cytotoxic T cell",0.711,0.971,1278
17,2,"CD14+ monocyte",0.859,0.978,1255
17,3,"CD16+ monocyte",NA,NA,0
17,4,"B cell",0.983,0.992,527
17,5,"CD4+ T cell",0.799,0.967,566
17,6,"Megakaryocyte",0.842,0.982,38
17,7,"Plasmacytoid dendritic cell",0.654,0.996,26
17,8,"Dendritic cell",0.919,0.986,37
17,9,"Natural killer cell",NA,NA,0
17,10,"MeanAcrossCellTypes",0.824,0.982,3727
18,1,"Cytotoxic T cell",0.856,0.977,174
18,2,"CD14+ monocyte",0.645,1,31
18,3,"CD16+ monocyte",0.81,0.998,21
18,4,"B cell",0.963,0.996,80
18,5,"CD4+ T cell",0.869,0.97,160
18,6,"Megakaryocyte",0.778,1,18
18,7,"Plasmacytoid dendritic cell",NA,NA,0
18,8,"Dendritic cell",NA,NA,0
18,9,"Natural killer cell",0.81,0.983,42
18,10,"MeanAcrossCellTypes",0.819,0.989,526
19,1,"Cytotoxic T cell",0.819,0.966,193
19,2,"CD14+ monocyte",0.867,0.998,60
19,3,"CD16+ monocyte",0.944,1,18
19,4,"B cell",0.975,1,79
19,5,"CD4+ T cell",0.955,0.987,112
19,6,"Megakaryocyte",1,1,14
19,7,"Plasmacytoid dendritic cell",NA,NA,0
19,8,"Dendritic cell",NA,NA,0
19,9,"Natural killer cell",0.7,1,50
19,10,"MeanAcrossCellTypes",0.894,0.993,526
20,1,"bladder cell",1,1,192
20,2,"bladder urothelial cell",1,1,141
20,3,"endothelial cell",0.942,0.999,971
20,4,"natural killer cell",0.937,1,142
20,5,"myeloid cell",0,NA,2
20,6,"B cell",0.941,0.997,5615
20,7,"T cell",0.846,0.994,1985
20,8,"basal cell of epidermis",0.997,1,2020
20,9,"leukocyte",0.105,1,19
20,10,"mesenchymal cell",0.794,0.987,5200
20,11,"blood cell",0.503,0.975,153
20,12,"epithelial cell",0.717,0.996,99
20,13,"stromal cell",0.889,0.997,1153
20,14,"lung endothelial cell",0.958,1,24
20,15,"monocyte",0.214,0.963,42
20,16,"classical monocyte",1,1,4
20,17,"ciliated columnar cell of tracheobronchial tree",NA,NA,0
20,18,"macrophage",0.216,0.997,208
20,19,"kidney collecting duct epithelial cell",0.833,1,24
20,20,"keratinocyte",0.735,0.994,1035
20,21,"skeletal muscle satellite cell",0.909,1,11
20,22,"mesenchymal stem cell",0.899,0.998,169
20,23,"immature T cell",0.973,0.999,222
20,24,"DN1 thymic pro-T cell",NA,NA,0
20,25,"basal cell",1,1,27
20,26,"luminal epithelial cell of mammary gland",1,1,35
20,27,"granulocyte",1,1,73
20,28,"basophil",NA,NA,0
20,29,"immature B cell",0,NA,3
20,30,"late pro-B cell",1,0.988,14
20,31,"granulocytopoietic cell",0.929,1,14
20,32,"hematopoietic precursor cell",0.25,1,24
20,33,"hepatocyte",0.997,1,374
20,34,"endothelial cell of hepatic sinusoid",NA,NA,0
20,35,"fibroblast",1,1,4
20,36,"endocardial cell",1,1,1
20,37,"cardiac muscle cell",NA,NA,0
20,38,"MeanAcrossCellTypes",0.768,0.996,20000
21,1,"gamma",0.944,1,18
21,2,"acinar",1,1,21
21,3,"alpha",1,1,239
21,4,"delta",0.76,1,25
21,5,"beta",0.981,0.998,258
21,6,"ductal",0.972,1,36
21,7,"endothelial",0.357,1,14
21,8,"activated_stellate",1,0.997,16
21,9,"schwann",0.4,0.999,5
21,10,"mast",0.333,0.94,3
21,11,"macrophage",1,1,1
21,12,"epsilon",0,NA,1
21,13,"quiescent_stellate",1,1,1
21,14,"MeanAcrossCellTypes",0.75,0.994,638
